final_label;count;models
vertebrae_S1;3;auto3dseg,multitalent,totalsegmentator_2.6
carpal_left;1;moose
carpal_right;1;moose
clavicle_left;1;moose
clavicle_right;1;moose
fibula_left;1;moose
fibula_right;1;moose
fingers_left;1;moose
fingers_right;1;moose
metacarpal_left;1;moose
metacarpal_right;1;moose
metatarsal_left;1;moose
metatarsal_right;1;moose
patella_left;1;moose
patella_right;1;moose
radius_left;1;moose
radius_right;1;moose
rib_left_13;1;moose
rib_right_13;1;moose
tarsal_left;1;moose
tarsal_right;1;moose
tibia_left;1;moose
tibia_right;1;moose
toes_left;1;moose
toes_right;1;moose
ulna_left;1;moose
ulna_right;1;moose
vertebrae_L6;1;moose
heart_atrium_left;3;moose,omas,totalsegmentator_1.5
heart_atrium_right;3;moose,omas,totalsegmentator_1.5
heart_myocardium;3;moose,omas,totalsegmentator_1.5
heart_ventricle_left;3;moose,omas,totalsegmentator_1.5
heart_ventricle_right;3;moose,omas,totalsegmentator_1.5
pulmonary_artery;3;moose,omas,totalsegmentator_1.5
OAR_A_Carotid_L;1;omas
OAR_A_Carotid_R;1;omas
OAR_Arytenoid;1;omas
OAR_Bone_Mandible;1;omas
OAR_Brainstem;1;omas
OAR_BuccalMucosa;1;omas
OAR_Cavity_Oral;1;omas
OAR_Cochlea_L;1;omas
OAR_Cochlea_R;1;omas
OAR_Cricopharyngeus;1;omas
OAR_Esophagus_S;1;omas
OAR_Eye_AL;1;omas
OAR_Eye_AR;1;omas
OAR_Eye_PL;1;omas
OAR_Eye_PR;1;omas
OAR_Glnd_Lacrimal_L;1;omas
OAR_Glnd_Lacrimal_R;1;omas
OAR_Glnd_Thyroid;1;omas
OAR_Glottis;1;omas
OAR_Larynx_SG;1;omas
OAR_Lips;1;omas
OAR_OpticChiasm;1;omas
OAR_Pituitary;1;omas
abdominal_cavity;1;omas
blood;1;omas
bones;1;omas
bowel_bag;1;omas
breast_implant;1;omas
compact bone;1;omas
csf;1;omas
eye balls;1;omas
glands;1;omas
gray matter;1;omas
head muscles;1;omas
larynx;1;omas
left psoas major;1;omas
left rectus abdominis;1;omas
left_mammary_gland;1;omas
mediastinum;1;omas
muscle;1;omas
pericardium;1;omas
rectum;1;omas
right psoas major;1;omas
right rectus abdominis;1;omas
right_mammary_gland;1;omas
scalp;1;omas
seminal_vesicle;1;omas
sigmoid;1;omas
spinal_canal;1;omas
spongy bone;1;omas
subcutaneous_tissue;1;omas
thoracic_cavity;1;omas
white matter;1;omas
face;3;omas,totalsegmentator_1.5,totalsegmentator_2.6
optic_nerve_left;2;omas,totalsegmentator_2.6
optic_nerve_right;2;omas,totalsegmentator_2.6
parotid_gland_left;2;omas,totalsegmentator_2.6
parotid_gland_right;2;omas,totalsegmentator_2.6
submandibular_gland_left;2;omas,totalsegmentator_2.6
submandibular_gland_right;2;omas,totalsegmentator_2.6
anterior_scalene_left;1;totalsegmentator_2.6
anterior_scalene_right;1;totalsegmentator_2.6
auditory_canal_left;1;totalsegmentator_2.6
auditory_canal_right;1;totalsegmentator_2.6
body_extremities;1;totalsegmentator_2.6
body_trunc;1;totalsegmentator_2.6
breast;1;totalsegmentator_2.6
cricoid_cartilage;1;totalsegmentator_2.6
digastric_left;1;totalsegmentator_2.6
digastric_right;1;totalsegmentator_2.6
eye_left;1;totalsegmentator_2.6
eye_lens_left;1;totalsegmentator_2.6
eye_lens_right;1;totalsegmentator_2.6
eye_right;1;totalsegmentator_2.6
eyeball_left;1;totalsegmentator_2.6
eyeball_right;1;totalsegmentator_2.6
femur;1;totalsegmentator_2.6
fourth_ventricle;1;totalsegmentator_2.6
hard_palate;1;totalsegmentator_2.6
hip_implant;1;totalsegmentator_2.6
humerus;1;totalsegmentator_2.6
hyoid;1;totalsegmentator_2.6
hypopharynx;1;totalsegmentator_2.6
inferior_oblique_muscle_left;1;totalsegmentator_2.6
inferior_oblique_muscle_right;1;totalsegmentator_2.6
inferior_pharyngeal_constrictor;1;totalsegmentator_2.6
inferior_rectus_muscle_left;1;totalsegmentator_2.6
inferior_rectus_muscle_right;1;totalsegmentator_2.6
infraspinatus;1;totalsegmentator_2.6
internal_carotid_artery_left;1;totalsegmentator_2.6
internal_carotid_artery_right;1;totalsegmentator_2.6
internal_jugular_vein_left;1;totalsegmentator_2.6
internal_jugular_vein_right;1;totalsegmentator_2.6
intracerebral_hemorrhage;1;totalsegmentator_2.6
larynx_air;1;totalsegmentator_2.6
lateral_pterygoid_left;1;totalsegmentator_2.6
lateral_pterygoid_right;1;totalsegmentator_2.6
lateral_rectus_muscle_left;1;totalsegmentator_2.6
lateral_rectus_muscle_right;1;totalsegmentator_2.6
levator_palpebrae_superioris_left;1;totalsegmentator_2.6
levator_palpebrae_superioris_right;1;totalsegmentator_2.6
levator_scapulae_left;1;totalsegmentator_2.6
levator_scapulae_right;1;totalsegmentator_2.6
liver_segment_1;1;totalsegmentator_2.6
liver_segment_2;1;totalsegmentator_2.6
liver_segment_3;1;totalsegmentator_2.6
liver_segment_4;1;totalsegmentator_2.6
liver_segment_5;1;totalsegmentator_2.6
liver_segment_6;1;totalsegmentator_2.6
liver_segment_7;1;totalsegmentator_2.6
liver_segment_8;1;totalsegmentator_2.6
liver_tumor;1;totalsegmentator_2.6
liver_vessels;1;totalsegmentator_2.6
lung;1;totalsegmentator_2.6
lung_covid_infiltrate;1;totalsegmentator_2.6
lung_left;1;totalsegmentator_2.6
lung_nodules;1;totalsegmentator_2.6
lung_right;1;totalsegmentator_2.6
lung_trachea_bronchia;1;totalsegmentator_2.6
lung_vessels;1;totalsegmentator_2.6
masseter_left;1;totalsegmentator_2.6
masseter_right;1;totalsegmentator_2.6
medial_pterygoid_left;1;totalsegmentator_2.6
medial_pterygoid_right;1;totalsegmentator_2.6
medial_rectus_muscle_left;1;totalsegmentator_2.6
medial_rectus_muscle_right;1;totalsegmentator_2.6
middle_pharyngeal_constrictor;1;totalsegmentator_2.6
middle_scalene_left;1;totalsegmentator_2.6
middle_scalene_right;1;totalsegmentator_2.6
nasal_cavity_left;1;totalsegmentator_2.6
nasal_cavity_right;1;totalsegmentator_2.6
nasopharynx;1;totalsegmentator_2.6
oropharynx;1;totalsegmentator_2.6
pericardial_effusion;1;totalsegmentator_2.6
platysma_left;1;totalsegmentator_2.6
platysma_right;1;totalsegmentator_2.6
pleural_effusion;1;totalsegmentator_2.6
posterior_scalene_left;1;totalsegmentator_2.6
posterior_scalene_right;1;totalsegmentator_2.6
prevertebral_left;1;totalsegmentator_2.6
prevertebral_right;1;totalsegmentator_2.6
soft_palate;1;totalsegmentator_2.6
sterno_thyroid_left;1;totalsegmentator_2.6
sterno_thyroid_right;1;totalsegmentator_2.6
